number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_one_minus_gamma,params_vf_coef,user_attrs_duration_s,user_attrs_gamma,user_attrs_n_train_seeds,user_attrs_score_min,user_attrs_score_std,user_attrs_seed_scores,state
53,1.4384206999999947,2026-07-21 10:28:26.492055,2026-07-21 10:33:20.022217,0 days 00:04:53.530162,128,0.3,0.0057401353143979855,0.9,0.0010752998107614712,0.5,20,512,0.000830997157922194,1.0,293.45446344302036,0.9991690028420778,2.0,-129.23379525000001,130.67221595,"[132.11063665, -129.23379525000001]",COMPLETE
54,176.42060014999998,2026-07-21 10:28:45.166553,2026-07-21 10:33:33.254619,0 days 00:04:48.088066,128,0.3,0.0063782070033773265,0.9,0.001060472191041739,0.5,20,1024,0.0002272463688872082,1.0,288.00668640999356,0.9997727536311128,2.0,127.14131955000002,49.27928059999998,"[225.69988074999998, 127.14131955000002]",COMPLETE
55,-16.371455,2026-07-21 10:28:48.298905,2026-07-21 10:30:57.783675,0 days 00:02:09.484770,128,0.3,0.0038271312924977614,0.9,0.001081094390476202,0.5,20,1024,0.00019337589062899755,1.0,,,,,,,PRUNED
56,2.9524904999999997,2026-07-21 10:28:51.625796,2026-07-21 10:33:06.325937,0 days 00:04:14.700141,128,0.3,0.00357781012333974,0.9,0.0013712503582949441,0.5,20,512,0.0004625335720632186,0.25,254.63032982399454,0.9995374664279367,2.0,-57.19921469999999,60.151705199999995,"[-57.19921469999999, 63.10419569999999]",COMPLETE
57,115.4089618,2026-07-21 10:29:46.848494,2026-07-21 10:33:54.200134,0 days 00:04:07.351640,128,0.1,0.004627832010085299,0.9,0.0013714306467627346,0.5,20,1024,0.0002103515232024246,1.0,247.2803449619969,0.9997896484767975,2.0,6.390632200000003,109.0183296,"[224.4272914, 6.390632200000003]",COMPLETE
58,185.9394389,2026-07-21 10:29:52.766441,2026-07-21 10:34:33.655112,0 days 00:04:40.888671,128,0.3,0.005510579980394107,0.95,0.0013607710911879153,0.3,20,2048,0.00017101866204807738,1.0,280.61181726900395,0.999828981337952,2.0,168.36575755,17.573681349999987,"[168.36575755, 203.51312025]",COMPLETE
59,147.86026345,2026-07-21 10:30:05.883124,2026-07-21 10:33:57.311090,0 days 00:03:51.427966,128,0.3,0.0018050553608088434,0.95,0.001429518692420485,0.3,20,2048,0.0002899795281230683,1.0,231.34188805698068,0.999710020471877,2.0,81.79528149999999,66.06498195,"[81.79528149999999, 213.9252454]",COMPLETE
60,92.09843985,2026-07-21 10:30:09.971689,2026-07-21 10:34:23.367913,0 days 00:04:13.396224,128,0.3,0.0036644467908075835,0.95,0.0013377756334316288,0.3,20,2048,0.00018767942097685345,1.0,253.32270957299625,0.9998123205790231,2.0,12.161487950000001,79.9369519,"[12.161487950000001, 172.03539175]",COMPLETE
61,-42.309637800000004,2026-07-21 10:30:35.669532,2026-07-21 10:31:38.834210,0 days 00:01:03.164678,128,0.1,0.0047442513528263095,0.95,0.001417952240733716,0.3,20,2048,0.00019182511507609385,1.0,,,,,,,PRUNED
62,184.470377875,2026-07-21 10:30:38.586176,2026-07-21 10:34:55.821933,0 days 00:04:17.235757,128,0.1,0.007226110679979702,0.95,0.00144100202622962,0.3,20,2048,0.00018809288446464912,1.0,257.15412951100734,0.9998119071155354,2.0,106.21709105,78.25328682499999,"[262.7236647, 106.21709105]",COMPLETE
